GeoCode,Province,City,tract,x,description,description2,y,amount2011
9330050.04,British Columbia,Vancouver,50.04,31.7,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,870
9330051.01,British Columbia,Vancouver,51.01,30.9,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1053
9330051.02,British Columbia,Vancouver,51.02,22.9,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,897
9330052.01,British Columbia,Vancouver,52.01,22.2,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,908
9330052.02,British Columbia,Vancouver,52.02,19,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,952
9330053.01,British Columbia,Vancouver,53.01,29,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,955
9330053.02,British Columbia,Vancouver,53.02,25.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,974
9330054.01,British Columbia,Vancouver,54.01,30.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,929
9330054.02,British Columbia,Vancouver,54.02,22.7,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,978
9330055.01,British Columbia,Vancouver,55.01,24.5,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,924
9330055.02,British Columbia,Vancouver,55.02,20.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,824
9330056.01,British Columbia,Vancouver,56.01,29.9,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,791
9330056.02,British Columbia,Vancouver,56.02,28.2,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,970
9330057.01,British Columbia,Vancouver,57.01,36.9,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,603
9330057.02,British Columbia,Vancouver,57.02,28.2,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,695
9330058.00,British Columbia,Vancouver,58,30.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,521
9330059.06,British Columbia,Vancouver,59.06,38.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,826
9330059.07,British Columbia,Vancouver,59.07,34.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1777
9330059.08,British Columbia,Vancouver,59.08,28.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1576
9330059.09,British Columbia,Vancouver,59.09,33.5,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1216
9330059.10,British Columbia,Vancouver,59.1,31.9,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1293
